"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-06","2025","06","06","","26.9","","8.7","","17.8","","0.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-07","2025","06","07","","25.4","","10.8","","18.1","","0.0","","0.1","","","M","","M","","M","","","20","","60",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-08","2025","06","08","","16.1","","9.2","","12.7","","5.3","","0.0","","","M","","M","","M","","","33","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-09","2025","06","09","","14.2","","8.4","","11.3","","6.7","","0.0","","","M","","M","","M","","","33","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-10","2025","06","10","","25.2","","6.2","","15.7","","2.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-11","2025","06","11","","23.8","","6.9","","15.4","","2.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-12","2025","06","12","","24.3","","8.2","","16.3","","1.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-13","2025","06","13","","25.5","","9.2","","17.4","","0.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-14","2025","06","14","","25.8","","11.1","","18.5","","0.0","","0.5","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-15","2025","06","15","","27.1","","11.3","","19.2","","0.0","","1.2","","","M","","M","","M","","","18","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-16","2025","06","16","","25.7","","12.6","","19.2","","0.0","","1.2","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-17","2025","06","17","","25.2","","10.8","","18.0","","0.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-18","2025","06","18","","27.3","","14.6","","21.0","","0.0","","3.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-19","2025","06","19","","26.6","","12.1","","19.4","","0.0","","1.4","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-20","2025","06","20","","30.6","","14.4","","22.5","","0.0","","4.5","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-21","2025","06","21","","26.1","","18.1","","22.1","","0.0","","4.1","","","M","","M","","M","","","3","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-22","2025","06","22","","18.1","","11.9","","15.0","","3.0","","0.0","","","M","","M","","M","","","2","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-23","2025","06","23","","18.8","","6.3","","12.6","","5.4","","0.0","","","M","","M","","M","","","27","","49",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-24","2025","06","24","","26.6","","4.2","","15.4","","2.6","","0.0","","","M","","M","","M","","","20","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-25","2025","06","25","","22.9","","10.4","","16.7","","1.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-26","2025","06","26","","26.6","","15.1","","20.9","","0.0","","2.9","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-27","2025","06","27","","26.2","","11.5","","18.9","","0.0","","0.9","","","M","","M","","M","","","18","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-28","2025","06","28","","32.9","","17.8","","25.4","","0.0","","7.4","","","M","","M","","M","","","19","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-29","2025","06","29","","27.5","","15.9","","21.7","","0.0","","3.7","","","M","","M","","M","","","28","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-30","2025","06","30","","28.2","","16.0","","22.1","","0.0","","4.1","","","M","","M","","M","","","31","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-01","2025","07","01","","28.9","","14.7","","21.8","","0.0","","3.8","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-02","2025","07","02","","28.9","","13.7","","21.3","","0.0","","3.3","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-03","2025","07","03","","32.0","","13.7","","22.9","","0.0","","4.9","","","M","","M","","M","","","17","","43",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-04","2025","07","04","","32.5","","19.9","","26.2","","0.0","","8.2","","","M","","M","","M","","","35","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-05","2025","07","05","","26.3","","13.8","","20.1","","0.0","","2.1","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-06","2025","07","06","","22.7","","10.5","","16.6","","1.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-07","2025","07","07","","19.8","","9.8","","14.8","","3.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-08","2025","07","08","","27.0","","9.4","","18.2","","0.0","","0.2","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-09","2025","07","09","","29.2","","13.7","","21.5","","0.0","","3.5","","","M","","M","","M","","","17","","53",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-10","2025","07","10","","30.2","","21.2","","25.7","","0.0","","7.7","","","M","","M","","M","","","20","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-11","2025","07","11","","22.8","","12.7","","17.8","","0.2","","0.0","","","M","","M","","M","","","34","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-12","2025","07","12","","26.6","","12.3","","19.5","","0.0","","1.5","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-13","2025","07","13","","27.8","","15.4","","21.6","","0.0","","3.6","","","M","","M","","M","","","31","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-14","2025","07","14","","22.6","","11.8","","17.2","","0.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-15","2025","07","15","","20.9","","12.3","","16.6","","1.4","","0.0","","","M","","M","","M","","","2","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-16","2025","07","16","","21.7","","7.7","","14.7","","3.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-17","2025","07","17","","23.4","","5.1","","14.3","","3.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-18","2025","07","18","","24.7","","11.2","","18.0","","0.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-19","2025","07","19","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-20","2025","07","20","","23.3","","11.4","","17.4","","0.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-21","2025","07","21","","28.3","","16.7","","22.5","","0.0","","4.5","","","M","","M","","M","","","19","","49",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-22","2025","07","22","","22.9","","15.1","","19.0","","0.0","","1.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-23","2025","07","23","","25.2","","12.8","","19.0","","0.0","","1.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-24","2025","07","24","","26.2","","14.8","","20.5","","0.0","","2.5","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-25","2025","07","25","","31.6","","14.8","","23.2","","0.0","","5.2","","","M","","M","","M","","","19","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-26","2025","07","26","","31.1","","17.4","","24.3","","0.0","","6.3","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-27","2025","07","27","","24.4","","16.3","","20.4","","0.0","","2.4","","","M","","M","","M","","","30","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-28","2025","07","28","","24.4","","12.1","","18.3","","0.0","","0.3","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-29","2025","07","29","","24.2","","12.9","","18.6","","0.0","","0.6","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-30","2025","07","30","","23.9","","8.3","","16.1","","1.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-07-31","2025","07","31","","25.1","","10.7","","17.9","","0.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-01","2025","08","01","","26.9","","10.0","","18.5","","0.0","","0.5","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-02","2025","08","02","","26.7","","15.1","","20.9","","0.0","","2.9","","","M","","M","","M","","","18","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-03","2025","08","03","","27.9","","13.5","","20.7","","0.0","","2.7","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-04","2025","08","04","","26.5","","16.2","","21.4","","0.0","","3.4","","","M","","M","","M","","","15","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-05","2025","08","05","","27.6","","17.8","","22.7","","0.0","","4.7","","","M","","M","","M","","","17","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-06","2025","08","06","","27.4","","17.1","","22.3","","0.0","","4.3","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-07","2025","08","07","","28.3","","14.4","","21.4","","0.0","","3.4","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-08","2025","08","08","","25.0","","18.5","","21.8","","0.0","","3.8","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-09","2025","08","09","","24.9","","15.2","","20.1","","0.0","","2.1","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-10","2025","08","10","","24.3","","14.9","","19.6","","0.0","","1.6","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-11","2025","08","11","","23.3","","15.8","","19.6","","0.0","","1.6","","","M","","M","","M","","","22","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-12","2025","08","12","","19.9","","12.7","","16.3","","1.7","","0.0","","","M","","M","","M","","","32","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-13","2025","08","13","","22.6","","8.1","","15.4","","2.6","","0.0","","","M","","M","","M","","","14","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-14","2025","08","14","","28.6","","13.7","","21.2","","0.0","","3.2","","","M","","M","","M","","","19","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-15","2025","08","15","","","M","","M","","M","","M","","M","","M","","M","","M","","","30","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-16","2025","08","16","","21.3","","10.9","","16.1","","1.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-17","2025","08","17","","19.1","","13.7","","16.4","","1.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-18","2025","08","18","","21.1","","16.2","","18.7","","0.0","","0.7","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-19","2025","08","19","","25.7","","16.6","","21.2","","0.0","","3.2","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-20","2025","08","20","","28.3","","15.7","","22.0","","0.0","","4.0","","","M","","M","","M","","","19","","51",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-21","2025","08","21","","25.9","","14.7","","20.3","","0.0","","2.3","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-22","2025","08","22","","20.5","","11.7","","16.1","","1.9","","0.0","","","M","","M","","M","","","32","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-23","2025","08","23","","18.9","","10.1","","14.5","","3.5","","0.0","","","M","","M","","M","","","35","","47",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-24","2025","08","24","","19.1","","6.0","","12.6","","5.4","","0.0","","","M","","M","","M","","","1","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-25","2025","08","25","","18.8","","5.5","","12.2","","5.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-26","2025","08","26","","27.8","","10.8","","19.3","","0.0","","1.3","","","M","","M","","M","","","25","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-27","2025","08","27","","26.5","","14.2","","20.4","","0.0","","2.4","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-28","2025","08","28","","26.9","","11.2","","19.1","","0.0","","1.1","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-29","2025","08","29","","29.1","","13.2","","21.2","","0.0","","3.2","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-30","2025","08","30","","30.5","","15.0","","22.8","","0.0","","4.8","","","M","","M","","M","","","23","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-08-31","2025","08","31","","29.2","","14.6","","21.9","","0.0","","3.9","","","M","","M","","M","","","21","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-01","2025","09","01","","27.5","","15.6","","21.6","","0.0","","3.6","","","M","","M","","M","","","19","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-02","2025","09","02","","17.0","","6.8","","11.9","","6.1","","0.0","","","M","","M","","M","","","34","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-03","2025","09","03","","13.9","","2.0","","8.0","","10.0","","0.0","","","M","","M","","M","","","2","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-04","2025","09","04","","8.9","","0.7","","4.8","","13.2","","0.0","","","M","","M","","M","","","32","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-05","2025","09","05","","16.1","","4.7","","10.4","","7.6","","0.0","","","M","","M","","M","","","31","","50",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-06","2025","09","06","","15.2","","3.2","","9.2","","8.8","","0.0","","","M","","M","","M","","","35","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-07","2025","09","07","","19.3","","0.9","","10.1","","7.9","","0.0","","","M","","M","","M","","","20","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-08","2025","09","08","","23.2","","8.2","","15.7","","2.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-09","2025","09","09","","26.2","","7.5","","16.9","","1.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-10","2025","09","10","","27.0","","8.6","","17.8","","0.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-11","2025","09","11","","19.7","","14.7","","17.2","","0.8","","0.0","","","M","","M","","M","","","17","","43",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-12","2025","09","12","","26.3","","15.8","","21.1","","0.0","","3.1","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-13","2025","09","13","","25.5","","13.8","","19.7","","0.0","","1.7","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-14","2025","09","14","","25.8","","17.8","","21.8","","0.0","","3.8","","","M","","M","","M","","","15","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-15","2025","09","15","","28.4","","18.6","","23.5","","0.0","","5.5","","","M","","M","","M","","","15","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-16","2025","09","16","","25.2","","14.2","","19.7","","0.0","","1.7","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-17","2025","09","17","","20.1","","11.3","","15.7","","2.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-18","2025","09","18","","17.5","","13.2","","15.4","","2.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-19","2025","09","19","","17.0","","14.6","","15.8","","2.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-20","2025","09","20","","17.3","","14.9","","16.1","","1.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-21","2025","09","21","","19.2","","12.3","","15.8","","2.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-22","2025","09","22","","26.1","","11.4","","18.8","","0.0","","0.8","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-23","2025","09","23","","21.0","","10.3","","15.7","","2.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-24","2025","09","24","","26.3","","9.0","","17.7","","0.3","","0.0","","","M","","M","","M","","","20","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-25","2025","09","25","","19.7","","6.2","","13.0","","5.0","","0.0","","","M","","M","","M","","","3","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-26","2025","09","26","","24.0","","5.6","","14.8","","3.2","","0.0","","","M","","M","","M","","","19","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-27","2025","09","27","","23.7","","7.3","","15.5","","2.5","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-28","2025","09","28","","27.4","","7.8","","17.6","","0.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-29","2025","09","29","","24.3","","11.1","","17.7","","0.3","","0.0","","","M","","M","","M","","","13","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-09-30","2025","09","30","","30.0","","15.0","","22.5","","0.0","","4.5","","","M","","M","","M","","","14","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-01","2025","10","01","","26.7","","16.9","","21.8","","0.0","","3.8","","","M","","M","","M","","","17","","48",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-02","2025","10","02","","27.1","","12.1","","19.6","","0.0","","1.6","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-03","2025","10","03","","26.9","","13.3","","20.1","","0.0","","2.1","","","M","","M","","M","","","18","","43",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-04","2025","10","04","","19.6","","11.7","","15.7","","2.3","","0.0","","","M","","M","","M","","","1","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-05","2025","10","05","","13.9","","4.1","","9.0","","9.0","","0.0","","","M","","M","","M","","","35","","65",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-06","2025","10","06","","11.1","","1.8","","6.5","","11.5","","0.0","","","M","","M","","M","","","27","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-07","2025","10","07","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-08","2025","10","08","","17.5","","3.1","","10.3","","7.7","","0.0","","","M","","M","","M","","","17","","53",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-09","2025","10","09","","19.4","","3.6","","11.5","","6.5","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-10","2025","10","10","","17.4","","-0.2","","8.6","","9.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-11","2025","10","11","","19.6","","6.5","","13.1","","4.9","","0.0","","","M","","M","","M","","","18","","68",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-12","2025","10","12","","17.6","","5.5","","11.6","","6.4","","0.0","","","M","","M","","M","","","24","","68",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-13","2025","10","13","","8.8","","-1.4","","3.7","","14.3","","0.0","","","M","","M","","M","","","29","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-14","2025","10","14","","6.4","","-3.2","","1.6","","16.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-15","2025","10","15","","12.7","","4.9","","8.8","","9.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-16","2025","10","16","","11.2","","9.2","","10.2","","7.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-17","2025","10","17","","12.7","","7.8","","10.3","","7.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-18","2025","10","18","","11.7","","3.1","","7.4","","10.6","","0.0","","","M","","M","","M","","","27","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-19","2025","10","19","","10.8","","1.1","","6.0","","12.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-20","2025","10","20","","7.8","","4.5","","6.2","","11.8","","0.0","","","M","","M","","M","","","3","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-21","2025","10","21","","7.4","","2.6","","5.0","","13.0","","0.0","","","M","","M","","M","","","1","","43",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-22","2025","10","22","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-23","2025","10","23","","8.3","","-5.1","","1.6","","16.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-24","2025","10","24","","","M","","M","","M","","M","","M","","M","","M","","M","","","15","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-25","2025","10","25","","15.4","","1.5","","8.5","","9.5","","0.0","","","M","","M","","M","","","17","","62",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-26","2025","10","26","","16.6","","9.5","","13.1","","4.9","","0.0","","","M","","M","","M","","","19","","60",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-27","2025","10","27","","13.8","","7.8","","10.8","","7.2","","0.0","","","M","","M","","M","","","18","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-28","2025","10","28","","9.8","","0.2","","5.0","","13.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-29","2025","10","29","","8.3","","-1.8","","3.3","","14.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-30","2025","10","30","","6.3","","3.0","","4.7","","13.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-10-31","2025","10","31","","5.5","","0.7","","3.1","","14.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-01","2025","11","01","","3.9","","-0.6","","1.7","","16.3","","0.0","","","M","","M","","M","","","18","","63",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-02","2025","11","02","","14.7","","2.8","","8.8","","9.2","","0.0","","","M","","M","","M","","","27","","63",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-03","2025","11","03","","9.6","","1.6","","5.6","","12.4","","0.0","","","M","","M","","M","","","26","","47",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-04","2025","11","04","","7.8","","-3.2","","2.3","","15.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-05","2025","11","05","","6.1","","-5.5","","0.3","","17.7","","0.0","","","M","","M","","M","","","33","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-06","2025","11","06","","4.9","","-5.0","","-0.1","","18.1","","0.0","","","M","","M","","M","","","4","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-07","2025","11","07","","0.7","","-9.5","","-4.4","","22.4","","0.0","","","M","","M","","M","","","2","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-08","2025","11","08","","-3.3","","-10.4","","-6.9","","24.9","","0.0","","","M","","M","","M","","","31","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-09","2025","11","09","","-1.3","","-6.8","","-4.1","","22.1","","0.0","","","M","","M","","M","","","35","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-10","2025","11","10","","-1.0","","-6.1","","-3.6","","21.6","","0.0","","","M","","M","","M","","","18","","50",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-11","2025","11","11","","8.0","","-1.2","","3.4","","14.6","","0.0","","","M","","M","","M","","","29","","38",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-12","2025","11","12","","6.5","","-3.2","","1.7","","16.3","","0.0","","","M","","M","","M","","","31","","46",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-13","2025","11","13","","7.7","","-5.7","","1.0","","17.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-14","2025","11","14","","10.2","","1.1","","5.7","","12.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-11-15","2025","11","15","","3.3","","-5.5","","-1.1","","19.1","","0.0","","","M","","M","","M","","","30","","36",""
